Sample,Type,PET,IS,Temp,mz105
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,709.6739,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,714.53146,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,719.44903,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,724.44756,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,729.46861,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,734.44558,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,739.40524,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,744.44125,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,749.59294,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,754.75705,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,759.82029,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,764.8012,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,769.79754,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,774.84844,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,779.86877,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,784.77503,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,789.62272,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,794.53376,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,799.55701,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,804.61997,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,809.65132,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,814.65692,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,819.67119,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,824.70309,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,829.72834,1.17E-10
