Sample,Temp,AvgHF
PET Dust PETKA CZ Brno,200,-0.417333333333333
PET Dust PETKA CZ Brno,205,-0.424866666666667
PET Dust PETKA CZ Brno,210,-0.433766666666667
PET Dust PETKA CZ Brno,215,-0.442866666666667
PET Dust PETKA CZ Brno,220,-0.4585
PET Dust PETKA CZ Brno,225,-0.498933333333333
PET Dust PETKA CZ Brno,230,-0.647933333333333
PET Dust PETKA CZ Brno,235,-0.728433333333333
PET Dust PETKA CZ Brno,240,-0.866833333333333
PET Dust PETKA CZ Brno,245,-0.879066666666667
PET Dust PETKA CZ Brno,250,-0.444933333333333
PET Dust PETKA CZ Brno,255,-0.441633333333333
PET Dust PETKA CZ Brno,260,-0.441233333333333
PET Dust PETKA CZ Brno,265,-0.442166666666667
PET Dust PETKA CZ Brno,270,-0.444133333333333
PET Dust PETKA CZ Brno,275,-0.4467
PET Dust PETKA CZ Brno,280,-0.449466666666667
PET Dust PETKA CZ Brno,285,-0.452566666666667
PET Dust PETKA CZ Brno,290,-0.4558
PET Dust PETKA CZ Brno,295,-0.459
PET Dust PETKA CZ Brno,300,-0.462433333333333
PET Dust PETKA CZ Brno,305,-0.4663
