Temp,TGA,mz33,PET,Cys
45.739,99.96789,1.5E-11,30.7,0
48.3,99.96295,1.5E-11,30.7,0
51.084,99.96048,1.5E-11,30.7,0
54.074,99.95801,1.5E-11,30.7,0
57.215,99.9506,1.49E-11,30.7,0
60.49,99.93578,1.48E-11,30.7,0
63.875,99.92343,1.47E-11,30.7,0
67.31,99.91109,1.47E-11,30.7,0
70.804,99.90368,1.48E-11,30.7,0
74.26,99.89133,1.47E-11,30.7,0
77.699,99.87157,1.45E-11,30.7,0
81.132,99.86663,1.43E-11,30.7,0
84.511,99.84934,1.45E-11,30.7,0
87.862,99.83699,1.45E-11,30.7,0
91.155,99.82464,1.44E-11,30.7,0
94.391,99.81476,1.44E-11,30.7,0
97.562,99.79994,1.45E-11,30.7,0
100.656,99.78759,1.45E-11,30.7,0
103.664,99.77524,1.43E-11,30.7,0
106.588,99.76289,1.42E-11,30.7,0
109.473,99.75795,1.43E-11,30.7,0
112.281,99.74808,1.43E-11,30.7,0
115.024,99.7382,1.42E-11,30.7,0
117.723,99.72338,1.41E-11,30.7,0
120.347,99.71844,1.4E-11,30.7,0
122.964,99.7135,1.38E-11,30.7,0
125.546,99.70609,1.37E-11,30.7,0
128.101,99.69868,1.38E-11,30.7,0
130.631,99.69374,1.39E-11,30.7,0
133.146,99.67892,1.39E-11,30.7,0
135.647,99.66904,1.37E-11,30.7,0
138.134,99.65669,1.37E-11,30.7,0
140.597,99.65422,1.39E-11,30.7,0
143.071,99.64681,1.4E-11,30.7,0
145.55299,99.64187,1.4E-11,30.7,0
147.995,99.64434,1.38E-11,30.7,0
150.46001,99.63693,1.37E-11,30.7,0
152.923,99.62952,1.38E-11,30.7,0
155.37,99.62211,1.39E-11,30.7,0
157.832,99.61717,1.41E-11,30.7,0
160.28799,99.61223,1.41E-11,30.7,0
162.754,99.60482,1.4E-11,30.7,0
165.21899,99.60235,1.38E-11,30.7,0
167.7,99.59741,1.36E-11,30.7,0
170.153,99.59247,1.36E-11,30.7,0
172.64,99.58754,1.35E-11,30.7,0
175.114,99.5826,1.35E-11,30.7,0
177.606,99.57766,1.37E-11,30.7,0
180.08,99.57272,1.39E-11,30.7,0
182.56799,99.56037,1.38E-11,30.7,0
185.05299,99.55543,1.36E-11,30.7,0
187.548,99.55296,1.35E-11,30.7,0
190.045,99.54308,1.34E-11,30.7,0
192.515,99.53814,1.34E-11,30.7,0
195.00101,99.53073,1.34E-11,30.7,0
197.49001,99.52332,1.36E-11,30.7,0
199.98801,99.52085,1.36E-11,30.7,0
202.465,99.5085,1.34E-11,30.7,0
204.979,99.49862,1.32E-11,30.7,0
207.468,99.49368,1.33E-11,30.7,0
209.961,99.4838,1.35E-11,30.7,0
212.44901,99.46651,1.37E-11,30.7,0
214.93401,99.46157,1.37E-11,30.7,0
217.42999,99.44675,1.35E-11,30.7,0
219.916,99.44181,1.33E-11,30.7,0
222.39301,99.43193,1.32E-11,30.7,0
224.88901,99.41712,1.32E-11,30.7,0
227.371,99.40477,1.34E-11,30.7,0
229.85899,99.39242,1.35E-11,30.7,0
232.34599,99.3776,1.34E-11,30.7,0
234.841,99.36031,1.33E-11,30.7,0
237.33,99.34796,1.33E-11,30.7,0
239.81599,99.33067,1.32E-11,30.7,0
242.311,99.31585,1.32E-11,30.7,0
244.811,99.29609,1.31E-11,30.7,0
247.30499,99.2788,1.31E-11,30.7,0
249.789,99.25164,1.31E-11,30.7,0
252.282,99.23188,1.31E-11,30.7,0
254.77,99.20965,1.31E-11,30.7,0
257.26999,99.18495,1.31E-11,30.7,0
259.772,99.16025,1.31E-11,30.7,0
262.24701,99.13061,1.31E-11,30.7,0
264.745,99.10344,1.31E-11,30.7,0
267.21899,99.07628,1.31E-11,30.7,0
269.711,99.04417,1.31E-11,30.7,0
272.20099,99.01453,1.3E-11,30.7,0
274.69199,98.98736,1.29E-11,30.7,0
277.15799,98.96266,1.29E-11,30.7,0
279.66501,98.93303,1.28E-11,30.7,0
282.15701,98.89351,1.27E-11,30.7,0
284.64301,98.86387,1.28E-11,30.7,0
287.129,98.83176,1.3E-11,30.7,0
289.625,98.80459,1.3E-11,30.7,0
292.10699,98.76755,1.29E-11,30.7,0
294.60901,98.74285,1.27E-11,30.7,0
297.09299,98.71568,1.25E-11,30.7,0
299.577,98.68604,1.25E-11,30.7,0
302.056,98.6564,1.26E-11,30.7,0
304.547,98.62923,1.25E-11,30.7,0
307.03601,98.60207,1.23E-11,30.7,0
309.517,98.5749,1.24E-11,30.7,0
312.01999,98.5502,1.26E-11,30.7,0
314.49701,98.52056,1.27E-11,30.7,0
316.98599,98.48598,1.27E-11,30.7,0
319.47198,98.46375,1.25E-11,30.7,0
321.961,98.43165,1.24E-11,30.7,0
324.45001,98.40695,1.25E-11,30.7,0
326.931,98.37731,1.26E-11,30.7,0
329.42599,98.35261,1.26E-11,30.7,0
331.923,98.32544,1.26E-11,30.7,0
334.42599,98.29827,1.27E-11,30.7,0
336.90399,98.27605,1.27E-11,30.7,0
339.39801,98.25135,1.26E-11,30.7,0
341.90701,98.22912,1.26E-11,30.7,0
344.38101,98.19948,1.26E-11,30.7,0
346.86099,98.17478,1.27E-11,30.7,0
349.35001,98.14761,1.26E-11,30.7,0
351.83701,98.12044,1.25E-11,30.7,0
354.33499,98.09328,1.27E-11,30.7,0
356.823,98.06858,1.27E-11,30.7,0
359.30899,98.04141,1.25E-11,30.7,0
361.81,98.01671,1.23E-11,30.7,0
364.31201,97.99201,1.24E-11,30.7,0
366.79901,97.96484,1.25E-11,30.7,0
369.28799,97.94015,1.24E-11,30.7,0
371.785,97.91545,1.22E-11,30.7,0
374.28201,97.88581,1.23E-11,30.7,0
376.78799,97.85617,1.23E-11,30.7,0
379.26999,97.82159,1.23E-11,30.7,0
381.76199,97.78455,1.24E-11,30.7,0
384.25,97.74256,1.25E-11,30.7,0
386.73499,97.71045,1.25E-11,30.7,0
389.229,97.66599,1.24E-11,30.7,0
391.70401,97.61413,1.22E-11,30.7,0
394.12601,97.55485,1.2E-11,30.7,0
396.62601,97.49557,1.19E-11,30.7,0
399.15302,97.43136,1.19E-11,30.7,0
401.69199,97.35232,1.18E-11,30.7,0
404.20001,97.26835,1.17E-11,30.7,0
406.71701,97.17449,1.15E-11,30.7,0
409.23499,97.06829,1.13E-11,30.7,0
411.715,96.95715,1.13E-11,30.7,0
414.20999,96.83612,1.14E-11,30.7,0
416.69699,96.70028,1.13E-11,30.7,0
419.181,96.56197,1.12E-11,30.7,0
421.66101,96.4286,1.12E-11,30.7,0
424.13599,96.29276,1.13E-11,30.7,0
426.60999,96.16185,1.14E-11,30.7,0
429.06601,96.04083,1.16E-11,30.7,0
431.52899,95.9371,1.18E-11,30.7,0
433.95001,95.83336,1.2E-11,30.7,0
436.42801,95.75433,1.21E-11,30.7,0
439,95.67776,1.22E-11,30.7,0
441.55499,95.62343,1.22E-11,30.7,0
444.06,95.57156,1.22E-11,30.7,0
446.54501,95.5271,1.23E-11,30.7,0
448.99899,95.48512,1.23E-11,30.7,0
451.47101,95.44313,1.23E-11,30.7,0
453.953,95.40855,1.24E-11,30.7,0
456.43799,95.38138,1.24E-11,30.7,0
458.95901,95.3468,1.24E-11,30.7,0
461.45901,95.3147,1.24E-11,30.7,0
463.98099,95.30235,1.24E-11,30.7,0
466.491,95.27271,1.24E-11,30.7,0
468.98001,95.25048,1.24E-11,30.7,0
471.48199,95.22578,1.24E-11,30.7,0
473.983,95.21096,1.25E-11,30.7,0
476.48099,95.18626,1.24E-11,30.7,0
478.995,95.16157,1.22E-11,30.7,0
