Sample Name,Date,Soil,Polymer,Extraction procedure,Rep,Extract,Soil target,Soil mass,Target content,Target weight,Actual weight,Actual content,Interference target,Interference weight,Interference content,Dilution,Extraction Batch No
ZS-1055,2019-07-25,Blank,Polyethylene,TCB after MeOH rinse,1,8.02,0,0,0,0,,#DIV/0!,0,0,#DIV/0!,1,6
ZS-1056,2019-07-25,Blank,Polyethylene,TCB after MeOH rinse,2,8.02,0,0,0,0,,#DIV/0!,0,0,#DIV/0!,1,
ZS-1057,2019-07-25,Blank,Polyethylene,TCB after MeOH rinse,3,8.02,0,0,0,0,,#DIV/0!,0,0,#DIV/0!,1,
ZS-1058,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,1,8.02,4,4.0074,0,0,,0,0,0,0,1,
ZS-1059,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,2,8.02,4,4.0049,0,0,,0,0,0,0,1,
ZS-1060,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,3,8.02,4,4.0017,0,0,,0,0,0,0,1,
ZS-1061,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,1,8.02,4,3.9994,50,0.2,0.2031,50.775,0,0,0,1,
ZS-1062,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,2,8.02,4,4.0049,50,0.2,0.195,48.75,0,0,0,1,
ZS-1063,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,3,8.02,4,4.0038,50,0.2,0.1957,48.925,0,0,0,1,
ZS-1064,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,1,8.02,4,4.0064,250,1,1.035,258.75,0,0,0,1,
ZS-1065,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,2,8.02,4,4.0035,250,1,1.0264,256.6,0,0,0,1,
ZS-1066,2019-07-25,WR,Polyethylene,TCB after MeOH rinse,3,8.02,4,4.0057,250,1,0.984,246,0,0,0,1,
ZS-1001,2019-07-03,RefeSol 06-A,Polypropylene,TCB,1,8.02,4,4.0072,0,0,0,0,0,0,0,1,2
ZS-1002,2019-07-03,RefeSol 06-A,Polypropylene,TCB,2,8.02,4,3.9911,0,0,0,0,0,0,0,1,2
ZS-1003,2019-07-03,RefeSol 06-A,Polypropylene,TCB,3,8.02,4,4.0045,0,0,0,0,0,0,0,1,1
ZS-1004,2019-07-03,RefeSol 06-A,Polypropylene,TCB,1,8.02,4,4.002,50,0,0.205,51.224387806097,0,0,0,1,1
ZS-1005,2019-07-03,RefeSol 06-A,Polypropylene,TCB,2,8.02,4,3.994,50,0,0.192,48.0721081622434,0,0,0,1,1
ZS-1006,2019-07-03,RefeSol 06-A,Polypropylene,TCB,3,8.02,4,3.9993,50,0,0.2095,52.3841672292651,0,0,0,1,2
ZS-1007,2019-07-03,RefeSol 06-A,Polypropylene,TCB,1,8.02,4,3.9946,250,0,1.0064,251.940119160867,0,0,0,1,2
ZS-1008,2019-07-03,RefeSol 06-A,Polypropylene,TCB,2,8.02,4,3.998,250,0,0.9931,248.3991995998,0,0,0,1,2
ZS-1009,2019-07-03,RefeSol 06-A,Polypropylene,TCB,3,8.02,4,4.0052,250,0,1.0081,251.69779286927,0,0,0,1,2
ZS-1010,2019-07-03,LUFA 2.2,Polypropylene,TCB,1,8.02,4,4.0026,0,0,0,0,0,0,0,1,1
ZS-1011,2019-07-03,LUFA 2.2,Polypropylene,TCB,2,8.02,4,4.0096,0,0,0,0,0,0,0,1,3
ZS-1012,2019-07-03,LUFA 2.2,Polypropylene,TCB,3,8.02,4,4.0018,0,0,0,0,0,0,0,1,1
ZS-1013,2019-07-03,LUFA 2.2,Polypropylene,TCB,1,8.02,4,4.0087,50,0.2,0.195,48.6441988674633,0,0,0,1,4
ZS-1014,2019-07-03,LUFA 2.2,Polypropylene,TCB,2,8.02,4,3.992,50,0.2,0.1953,48.9228456913828,0,0,0,1,4
ZS-1015,2019-07-03,LUFA 2.2,Polypropylene,TCB,3,8.02,4,3.9969,50,0.2,0.2054,51.3898271160149,0,0,0,1,3
ZS-1016,2019-07-03,LUFA 2.2,Polypropylene,TCB,1,8.02,4,3.9974,250,1,0.9971,249.437134137189,0,0,0,1,1
ZS-1017,2019-07-03,LUFA 2.2,Polypropylene,TCB,2,8.02,4,4.0068,250,1,1.003,250.324448437656,0,0,0,1,3
ZS-1018,2019-07-03,LUFA 2.2,Polypropylene,TCB,3,8.02,4,4.0008,250,1,0.9893,247.275544891022,0,0,0,1,3
ZS-1019,2019-07-03,WR,Polypropylene,TCB,1,8.02,4,4.0045,0,0,0,0,0,0,0,1,1
ZS-1020,2019-07-03,WR,Polypropylene,TCB,2,8.02,4,4.0052,0,0,0,0,0,0,0,1,2
ZS-1021,2019-07-03,WR,Polypropylene,TCB,3,8.02,4,4.0084,0,0,0,0,0,0,0,1,3
ZS-1022,2019-07-03,WR,Polypropylene,TCB,1,8.02,4,4.0065,50,0.2,0.211,52.6644203169849,0,0,0,1,4
ZS-1023,2019-07-03,WR,Polypropylene,TCB,2,8.02,4,3.9946,50,0.2,0.1954,48.9160366494768,0,0,0,1,1
ZS-1024,2019-07-03,WR,Polypropylene,TCB,3,8.02,4,3.9984,50,0.2,0.1925,48.1442577030812,0,0,0,1,3
ZS-1025,2019-07-03,WR,Polypropylene,TCB,1,8.02,4,4.0061,250,1,1.0008,249.819025985372,0,0,0,1,3
ZS-1026,2019-07-03,WR,Polypropylene,TCB,2,8.02,4,3.9937,250,1,1.0024,250.99531762526,0,0,0,1,3
ZS-1027,2019-07-03,WR,Polypropylene,TCB,3,8.02,4,4.002,250,1,0.9917,247.801099450275,0,0,0,1,1
ZS-1028,2019-07-03,Blank,Polypropylene,TCB,1,8.02,0,0,0,0,0,,0,0,#DIV/0!,1,3
ZS-1029,2019-07-03,Blank,Polypropylene,TCB,2,8.02,0,0,0,0,0,,0,0,#DIV/0!,1,3
ZS-1030,2019-07-03,Blank,Polypropylene,TCB,3,8.02,0,0,0,0,0,,0,0,#DIV/0!,1,3
ZS-1031,2019-07-03,LUFA 2.2,Polypropylene,TCB,1,8.02,4,4.0014,0,0,0,0,0.2,0.1908,47.6833108412056,1,1
ZS-1032,2019-07-03,LUFA 2.2,Polypropylene,TCB,2,8.02,4,4.0004,0,0,0,0,0.2,0.2017,50.4199580041996,1,3
