Time,Intensity
9.891667,2645250
9.913283,3238313
9.935167,2148466
9.956783,2418345
9.97865,2900480
10.000267,3352619
10.022133,4773129
10.04375,3070212
10.0685,3328501
10.0922,3508618
10.115883,3893732
10.137767,2896088
10.159383,2913012
10.181,4222093
10.205217,3050194
10.227083,2186114
10.250783,2835680
10.2724,2051536
10.296367,1835308
10.318233,2125317
10.33985,2484077
10.361467,2727900
10.383333,4666323
10.40495,2361302
10.426833,13513940
10.44845,146129442
10.470317,16645229
10.491933,2791943
10.51355,3429726
10.535167,3924603
10.557033,96399585
10.580733,127357670
10.60235,3908056
10.623967,4294001
10.648183,3788000
10.671883,13148298
10.6935,23541804
10.715117,3052445
10.736983,2580354
10.7586,4796461
10.780467,3474242
10.802083,2173197
10.823967,2211996
10.8487,2401210
10.870317,4092056
10.891933,3919584
10.9138,2274665
10.935417,2366582
10.9573,2345675
10.978917,2549974
11.000783,2731251
11.0224,2592289
11.044017,2410322
11.069283,2851343
11.09115,2285325
11.11485,2482642
11.136467,2426313
11.158083,2859299
11.17995,3739618
11.201567,3681874
11.22345,2794817
11.24505,2794322
11.266933,2565379
11.291667,2711849
11.313283,3412412
11.33725,2666011
11.359117,2457297
11.380733,2432997
11.4047,2789682
11.428383,3070891
11.450267,2508246
11.471883,2689809
11.4935,3135256
11.517717,2903186
11.541417,2586842
11.563283,3158268
11.586983,4480652
11.610683,3057875
11.63255,2762037
11.65625,2487580
11.677867,2379976
11.701833,2555503
11.725533,2221852
11.75105,1751783
11.772667,1925465
11.794283,2289735
11.81615,2062554
11.837767,2381043
11.859633,5467301
11.88125,53939893
11.903133,121445052
11.92475,5955488
11.946367,2937470
11.967967,3152647
11.98985,51842521
12.011467,218708855
12.033333,6286159
12.05495,3883142
12.076833,3884007
12.09845,9911243
12.12005,18883338
12.141933,2207546
12.16355,2735022
12.185417,3766339
12.207033,3500944
12.22865,1702414
12.250533,1767577
12.272133,1901048
12.29375,1802397
12.315633,2455581
12.33725,4854143
12.359117,3093928
12.380733,2317393
12.40235,2941612
12.424217,1759020
12.445833,2007502
12.46745,2061417
12.489333,1909127
12.51095,1779637
12.532817,1543404
12.554433,1804150
12.57605,1948500
12.597917,1915272
12.619533,2137459
12.64115,4008969
12.663033,3193665
12.684633,1961339
12.706517,1963620
12.728133,1958477
12.74975,2320382
12.771617,2178613
12.793233,1889398
12.81485,2069349
12.836717,2382444
12.858333,1870002
12.880217,2385460
12.901833,2024698
12.92345,2029279
12.945317,2156147
12.966933,2038159
12.9888,2127514
13.010417,1970694
13.0323,1732392
13.053917,1809416
13.075533,1565319
13.097133,1530345
13.119017,1482346
13.140633,1939253
13.1625,2503739
13.184117,2959081
13.206,2264089
13.227617,4525159
13.249217,97191461
13.270833,77676196
13.292717,4493173
13.314333,2421138
13.3362,16387951
13.357817,242580213
13.3797,31039783
13.4013,3056429
13.422917,4527405
13.444533,11871984
13.466417,15540394
13.488033,2246706
13.5099,2999453
13.533867,2654648
13.555733,3808197
13.57735,1818395
13.598967,1631605
13.620583,1727542
13.64245,2312732
13.664067,1994319
13.68595,1822508
13.70755,2796551
13.7297,3394985
13.7513,1967338
13.772917,2157703
13.794533,2710024
